C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-portal;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-data-mongodb
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-portal;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-data-redis
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-portal;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-amqp
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-search;GroupId: com.macro.mall	ArtifactId: mall-mbg
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-search;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-data-elasticsearch
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security;GroupId: com.macro.mall	ArtifactId: mall-common
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-web
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-security
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-data-redis
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master\mall-security;GroupId: io.jsonwebtoken	ArtifactId: jjwt
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-actuator
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-aop
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master;GroupId: org.springframework.boot	ArtifactId: spring-boot-starter-test
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master;GroupId: cn.hutool	ArtifactId: hutool-all
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master;GroupId: org.projectlombok	ArtifactId: lombok
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\mall-master;GroupId: org.springframework.boot	ArtifactId: spring-boot-configuration-processor
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\cache;GroupId: org.apache.shiro	ArtifactId: shiro-lang
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\core;GroupId: org.apache.shiro	ArtifactId: shiro-lang
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl;GroupId: org.apache.shiro	ArtifactId: shiro-lang
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl;GroupId: org.apache.shiro	ArtifactId: shiro-config-core
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl;GroupId: org.apache.shiro	ArtifactId: shiro-event
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl;GroupId: commons-beanutils	ArtifactId: commons-beanutils
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl;GroupId: org.apache.commons	ArtifactId: commons-configuration2
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl;GroupId: org.slf4j	ArtifactId: slf4j-api
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl;GroupId: org.slf4j	ArtifactId: slf4j-simple
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\config\ogdl;GroupId: org.slf4j	ArtifactId: jcl-over-slf4j
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro	ArtifactId: shiro-lang
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro	ArtifactId: shiro-cache
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro	ArtifactId: shiro-crypto-hash
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro.crypto	ArtifactId: shiro-hashes-argon2
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro.crypto	ArtifactId: shiro-hashes-bcrypt
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro	ArtifactId: shiro-crypto-cipher
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro	ArtifactId: shiro-config-core
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro	ArtifactId: shiro-config-ogdl
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.apache.shiro	ArtifactId: shiro-event
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.slf4j	ArtifactId: jcl-over-slf4j
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.slf4j	ArtifactId: slf4j-log4j12
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: log4j	ArtifactId: log4j
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core;GroupId: org.hsqldb	ArtifactId: hsqldb
